cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high
EXC,1.45,-0.0408673481694583,1.0206896551724136,-0.0551361793114757,0.0043605190443065,5.919431361423053e-05,0.0004547173885247
EXC,0.15,-0.0371322942276795,1.0,-0.055625296899164,0.0043248841556419,5.317414335321357e-05,0.000467362243619
EXC,0.05,-0.0376750007271766,1.05,-0.056550676022917,0.0038333601284533,5.379379516911608e-05,0.0004550544351551
EXC,0.4,-0.0384316407144069,1.08125,-0.0569593672433355,0.0035934294218349,5.107877140492824e-05,0.0004648955984487
EXC,0.05,-0.036609373986721,1.1,-0.0568345466134091,0.0037264713593921,5.767597545586523e-05,0.0004422299483294
EXC,0.0,0.0,0.0,-0.0564084780166298,0.0037340884927459,4.242918971477418e-05,0.0005077227896025
EXC,0.0,0.0,0.0,-0.0563592086702957,0.0038952180437759,4.473356451641135e-05,0.000510379225651
EXC,0.0,0.0,0.0,-0.0562181949852593,0.0037108797065334,4.659655731915351e-05,0.0004735317393955
EXC,0.0,0.0,0.0,-0.0563694164597895,0.0040546812457456,4.714902451477101e-05,0.0005377479395353
EXC,0.0,0.0,0.0,-0.0556429405185952,0.0040423640542695,4.685090012388921e-05,0.0005281314047988
EXC,0.1,-0.0363718755543231,1.15,-0.0557309844399336,0.0044017829414429,5.066595515974819e-05,0.0005653776221396
EXC,0.4,-0.0363339819014072,1.4875,-0.0563233620530227,0.0051952610333585,5.1628649412823e-05,0.0005859512102539
EXC,0.4,-0.0369179677218198,1.33125,-0.0548707527962653,0.0049596785306743,5.59276823610057e-05,0.0006437011466114
EXC,0.25,-0.0328837491571903,2.34,-0.0547246915003279,0.0061895671630884,4.826383875344856e-05,0.0007902618032816
EXC,0.0,0.0,0.0,-0.0566705636841245,0.0028440455419924,1.9496411970433127e-05,0.0003204819358743
EXC,0.0,0.0,0.0,-0.0557003138473816,0.0022394681790149,1.972480051476281e-05,0.0002834089240226
EXC,0.0,0.0,0.0,-0.055981707868427,0.0025703358259777,2.178022433935472e-05,0.0003704396653482
EXC,0.0,0.0,0.0,-0.0537684170773811,0.0028194557431371,2.104679742926523e-05,0.0003882349297719
PV,6.1,-0.0429245904861717,0.6872950819672131,-0.0515894565374016,0.0039419702765938,7.022349042203178e-05,0.0004957168467073
PV,22.016666666666666,-0.0431879574356781,0.476987130961393,-0.0538445982606471,0.0070701536943462,9.973688000719504e-05,0.0008884723295778
