Cell_Layer_L2/3,Cell_Layer_L4,Cell_Layer_L5,Cell_APThreshold_Slope,Cell_Depth,firing_rate,ap_duration,std_vm,fft_low,fft_high,ap_threshold,mean_vm,cell_type
1.0,0.0,0.0,0.25,0.18115942028985504,0.00047311149660936763,0.2136222910216718,0.2901488146747178,0.14726118271733238,0.44096066099234316,0.02651914637493299,-0.4209255332328113,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.002365557483046838,0.2953560371517027,0.35027410366101347,0.1485768691511207,0.36401124312239047,-0.013067516242520175,-0.2670013009135633,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.0028386689796562055,0.28173374613003094,0.3573389208656677,0.1520744894663566,0.43115874633668766,0.26568856635538435,-0.0015340479379977211,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.0009462229932187353,0.20897832817337458,0.24038002617945953,0.17377249973381387,0.38603935588312416,-0.06448467573415609,-0.3903064611896988,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.0,0.0,0.273708690020459,0.14306432687954015,0.38633494401725826,3.4343278974162494,-0.32626056724497476,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.002365557483046838,0.2526315789473684,0.17791761514607746,0.16903812622103886,0.2713901080488415,-0.706516640713784,-0.8014388312596747,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.011354675918624822,0.4005417956656347,0.2347154494929929,0.15324456016104854,0.33998337560031483,-0.6948046383996392,-0.7331869835376139,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.014666456394890396,0.4467192649555577,0.23903584487091156,0.14444666037434645,0.24284643794274607,-0.6440377464742502,-0.6048652043840657,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.003784891972874941,0.3622291021671827,0.11413555895672428,0.10535768725460304,0.1845311645235994,-0.6734282197688071,-0.5591430044058336,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.0052042264627030444,0.39600337742752606,0.09972889775586607,0.10528269600873907,0.2036146994740487,-0.6870594030662548,-0.31580385504141373,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.006150449455921779,0.45653727077875683,0.1208972492342279,0.11272999964396163,0.2125282410265325,-0.7189684136812101,-0.41072676667769437,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.004258003469484309,0.5799793601651186,0.09420699216324224,0.09641643635126013,0.15777848863029148,-0.7713442245467728,-0.2589104391437796,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.012774010408452927,0.504643962848297,0.15577761305694,0.10541424473854283,0.1856482976939085,-0.7888182223336925,-0.3225815611267935,EXC
0.0,1.0,0.0,0.25,0.7572463768115942,0.016558902381327865,0.5166740380362671,0.1388396454762521,0.1159399320781917,0.2261910251566258,-0.762695250183627,-0.08341117199444344,EXC
0.0,1.0,0.0,0.25,0.7282608695652174,0.00804289544235925,0.1999635767619741,0.2551427557019193,0.2358348967703875,0.42028500231847604,-0.027497644358568624,-0.22160966981886487,EXC
0.0,1.0,0.0,0.25,0.7282608695652174,0.010881564422015454,0.21846816529815585,0.289044828542209,0.30973436816289923,0.39752255049919555,0.04525159073570411,0.2719208781082378,EXC
1.0,0.0,0.0,0.25,0.18478260869565216,0.0,0.0,0.40526572322590076,0.07238382707371338,0.346629196894301,3.4343278974162494,-1.4665133286754906,EXC
1.0,0.0,0.0,0.25,0.18478260869565216,0.0,0.0,0.486304702839005,0.11891261178176782,0.40941827530622393,3.4343278974162494,-0.9551017450946644,EXC
1.0,0.0,0.0,0.25,0.18478260869565216,0.003784891972874941,0.30417956656346745,0.5319179124935376,0.13873390314157152,0.570069428953375,-0.5769499489859675,-0.4551211460191334,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.0,0.0,0.2578418818548263,0.08838573651990264,0.2641008181665954,3.4343278974162494,-2.853857491765812,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.0,0.0,0.4053460700092401,0.15086777742684299,0.4063338186421564,3.4343278974162494,-2.5042502120822845,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.0028386689796562055,0.21052631578947362,0.5173371462676462,0.16915888938463441,0.41875576434426026,-0.29431672438362283,-1.9871652186851585,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.015139567891499764,0.31753095975232193,0.8055985110300117,0.22509107764018432,0.57449833122651,-0.11062645741290526,-1.6760807452456743,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.00993534142879672,0.2954444935869084,0.7111339850209657,0.19922589821773168,0.6648952135022572,-0.24903826021372066,-1.9512145375966619,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.021027177627083005,0.3986842105263157,0.952971697641857,0.21447808954503006,0.7361041816227898,-0.04332628709379243,-1.3498454750957547,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.0335909162592651,0.38054332185060824,1.0,0.2446533333411477,0.6038345592444192,-0.2433159981683344,-0.9465063386376713,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.02980602428639016,0.4661654135338345,0.9254825528387414,0.257869898461277,0.5193976265221512,-0.2646073168830782,-1.3363242460932032,EXC
1.0,0.0,0.0,0.25,0.09420289855072461,0.021763128844030907,0.5510162875218736,0.7797966674609302,0.2520696014629614,0.7909012031935008,-0.29988287754296733,-1.2860457023076552,EXC
