cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,Cell_APThreshold_Slope,Cell_Depth,Cell_Layer
EXC,0.54,-0.040316983608788735,0.6092592592592593,-0.06842977384567958,0.00709276949672708,0.0009543532489144442,9.193457669241401e-05,20.0,375.0,L2/3
SST,4.296551724137931,-0.04789063326642356,0.47134831460674154,-0.057838797637590374,0.0032671591092363734,0.00038633829700940076,5.2772694743796816e-05,15.0,463.0,L4
SST,30.384615384615383,-0.043171322131557874,0.26662447257383964,-0.056545463178566596,0.006885135540177149,0.0008925935137349856,8.90506514944637e-05,30.0,423.0,L4
SST,7.22,-0.043484164019331056,0.7049861495844877,-0.049940975894675305,0.003252999403803329,0.0003987257402597891,3.694890749166929e-05,15.0,443.0,L4
SST,3.4166666666666665,-0.039106793673896856,0.5219512195121951,-0.04896224178727741,0.0033804448124181504,0.00038612708395386344,6.929210153283073e-05,15.0,374.0,L2/3
PV,16.486486486486488,-0.04095919440695753,0.3110655737704918,-0.05709954928752552,0.00850303510379736,0.001172511501518069,9.554520332967328e-05,25.0,234.0,L2/3
EXC,0.26666666666666666,-0.040715854702491776,0.59375,-0.06491651751408513,0.005432571103387226,0.0006269795307475308,9.525088262168861e-05,15.0,400.0,L2/3
EXC,1.1515151515151516,-0.03974315726004981,0.5960526315789473,-0.06287801387784858,0.00584064045576893,0.0007782990174956584,7.084694426248524e-05,15.0,368.0,L2/3
PV,47.93333333333333,-0.03786374030928596,0.3629694019471488,-0.051129626806381376,0.007933245847151098,0.0010527981477198827,8.490126444233938e-05,25.0,338.0,L2/3
PV,35.13333333333333,-0.040879454995981265,0.3175521821631878,-0.0527119731222385,0.008342652002865334,0.0011437647744896035,8.868298616576572e-05,20.0,235.0,L2/3
PV,27.152173913043477,-0.0418812510102082,0.29643714971977575,-0.056117859777080295,0.008423947377069783,0.0012121719388329543,0.00010524353543488528,35.0,245.0,L2/3
PV,31.133333333333333,-0.04244514634191047,0.3375267665952891,-0.055894268414000886,0.008948975825341833,0.0012386959203409156,8.999902341963699e-05,25.0,240.0,L2/3
PV,36.04545454545455,-0.04154782196083467,0.31947036569987386,-0.054705002888786235,0.009963765155768578,0.0013892278624889358,9.625096149502702e-05,25.0,174.0,L2/3
PV,32.06666666666667,-0.03883668012525028,0.3491943866943866,-0.04891852686055873,0.0071521648621807425,0.0008327817452390417,0.00010266233333106445,25.0,172.0,L2/3
PV,18.483333333333334,-0.0395235539460406,0.46686203787195674,-0.05466928897768969,0.00976715450084831,0.0013420832615257483,9.566661603336257e-05,20.0,184.0,L2/3
PV,45.61666666666667,-0.041115759303020326,0.3320789185239313,-0.05208668313852995,0.007396784665849653,0.0010893736739220916,6.867213133926239e-05,25.0,245.0,L2/3
EXC,0.06666666666666667,-0.04353684712601149,1.0499999999999998,-0.06716032902956248,0.006500697484155811,0.0008085575586070593,3.710447169195356e-05,15.0,170.0,L2/3
SST,14.956521739130435,-0.03462542859611811,0.7002906976744186,-0.04487623723322841,0.005585058538731644,0.0006416298791042907,4.27018847579405e-05,15.0,97.0,L2/3
SST,13.54054054054054,-0.03810528138566927,0.5711576846307385,-0.04991866562296961,0.005781556546467231,0.000799025758749299,4.9371126361925974e-05,15.0,152.0,L2/3
SST,6.866666666666666,-0.04070534111466155,0.4881067961165049,-0.05217868929018232,0.004876916503577916,0.0006460564635452948,4.753949720845349e-05,30.0,149.0,L2/3
SST,13.383333333333333,-0.03650914096020277,0.7541095890410958,-0.04574866575355219,0.005483906567917688,0.0005525286906977413,7.139449653183126e-05,20.0,126.0,L2/3
SST,16.05,-0.03466298142652177,0.71926272066459,-0.04304396465998457,0.004805131578120148,0.0005849988622514134,4.2047613424987495e-05,15.0,100.0,L2/3
EXC,0.6333333333333333,-0.03956791021070427,1.325657894736842,-0.05862173073116448,0.005375227605212235,0.0007046998387186137,4.772990539315362e-05,15.0,143.0,L2/3
