Cell_tdTomatoExpressing_True,Cell_Layer_L2/3,Cell_Layer_L4,Cell_Layer_L5,Cell_APThreshold_Slope,Cell_Depth,firing_rate,ap_duration,std_vm,fft_low,fft_high,ap_threshold,mean_vm,cell_type
0.0,1.0,0.0,0.0,0.25,0.1637323943661972,0.0,0.0,0.5058718218058109,0.10231802957917129,0.4167250428192638,3.5844000632510205,-2.762999714546155,EXC
0.0,1.0,0.0,0.0,0.25,0.35739436619718307,0.0037356577425953926,0.2012987012987013,0.41112544922454414,0.5432965342669732,0.39767116138154873,-0.183791639919914,-1.022412621930907,EXC
0.0,1.0,0.0,0.0,0.25,0.35739436619718307,0.0016009961753980255,0.19848484848484846,0.40242714874786173,0.5095506566585606,0.36763292623268273,-0.17041543960502017,-1.1548291232854224,EXC
0.0,1.0,0.0,0.0,0.25,0.1109154929577465,0.0018678288712976963,0.4168831168831168,0.40381648334891534,0.10514956996972845,0.3297687832695214,-0.22213766871519103,-0.49777197793537614,EXC
0.0,1.0,0.0,0.0,0.25,0.1109154929577465,0.0021346615671973676,0.46590909090909094,0.4119683033629382,0.11797582913036085,0.36857169431188597,-0.09661142526427248,-0.3427721983578652,EXC
0.0,1.0,0.0,0.0,0.25,0.39260563380281693,0.03335408698745886,0.21214545454545455,0.6478025520712836,0.43723429834435057,0.5509604710778928,-0.03045594437300333,0.13327700791159058,EXC
0.0,1.0,0.0,0.0,0.25,0.39260563380281693,0.0082718135728898,0.17126099706744863,0.4715407565646534,0.34707968013332097,0.42082322601402544,-0.03269558246395642,-0.09111504035265734,EXC
0.0,1.0,0.0,0.0,0.25,0.39260563380281693,0.008004980876990128,0.18424242424242418,0.45540927729857955,0.3517977615238922,0.3432359740386418,-0.025960767237427705,-0.35461422599032455,EXC
0.0,1.0,0.0,0.0,0.25,0.35739436619718307,0.0018678288712976963,0.2662337662337662,0.40144308989391114,0.3935208363472784,0.43174913895564176,-0.204477767886231,-1.348075635033262,EXC
0.0,1.0,0.0,0.0,0.25,0.12852112676056338,0.0,0.0,0.38312797948641797,0.17883850665837014,0.3078115866069988,3.5844000632510205,-1.7021287686016184,EXC
0.0,1.0,0.0,0.0,0.25,0.12852112676056338,0.0013341634794983546,0.3218181818181819,0.3478956386517915,0.1766901323511188,0.30135053423016595,-0.22023073106699395,-0.7664032714681996,EXC
0.0,1.0,0.0,0.0,0.25,0.4102112676056338,0.0013341634794983546,0.17272727272727273,0.3524950240078852,0.17852099406038818,0.3832669433035404,-0.43966950817501577,-1.6174953511357264,EXC
